ticket_id,customer_id,category,status,created_date,resolved_date
T00297,C0399,Billing,Open,2025-05-24,
T00298,C0464,Technical,Resolved,2025-02-13,2025-02-20
T00299,C0087,Technical,Resolved,2025-03-10,2025-03-18
T00300,C0075,Billing,Resolved,2025-03-12,2025-03-19
T00301,C0154,Login,Open,2025-04-03,
T00302,C0129,Technical,Open,2025-05-07,
T00303,C0305,Account,Resolved,2025-01-28,2025-01-31
T00304,C0156,Billing,Pending,2025-03-27,
T00305,C0431,Account,Resolved,2025-03-26,2025-04-03
T00306,C0172,Login,Open,2025-06-16,
T00307,C0499,Account,Resolved,2025-03-24,2025-04-03
T00308,C0486,Technical,Resolved,2025-02-15,2025-02-22
T00309,C0496,Payment,Resolved,2025-06-27,2025-07-05
T00310,C0496,Account,Open,2025-03-25,
T00311,C0193,Payment,Open,2025-04-11,
T00312,C0187,Billing,Pending,2025-02-21,
T00313,C0304,Account,Resolved,2025-05-21,2025-05-22
T00314,C0488,Login,Pending,2025-02-23,
T00315,C0225,Payment,Open,2025-01-18,
T00316,C0420,Login,Resolved,2025-02-05,2025-02-10
T00317,C0124,Payment,Resolved,2025-04-19,2025-04-26
T00318,C0038,Login,Pending,2025-05-03,
T00319,C0299,Login,Resolved,2025-06-27,2025-07-04
T00320,C0279,Billing,Open,2025-04-03,
T00321,C0360,Account,Resolved,2025-01-22,2025-01-24
T00322,C0394,Technical,Resolved,2025-04-01,2025-04-04
T00323,C0332,Account,Resolved,2025-06-15,2025-06-22
T00324,C0496,Payment,Pending,2025-04-21,
T00325,C0055,Billing,Resolved,2025-02-26,2025-03-07
T00326,C0383,Account,Resolved,2025-06-26,2025-07-06
T00327,C0114,Login,Resolved,2025-04-29,2025-05-09
T00328,C0354,Account,Resolved,2025-01-07,2025-01-15
T00329,C0054,Payment,Resolved,2025-01-22,2025-01-24
T00330,C0426,Technical,Resolved,2025-03-29,2025-04-06
T00331,C0402,Technical,Resolved,2025-03-31,2025-04-08
T00332,C0050,Login,Open,2025-04-26,
T00333,C0164,Billing,Resolved,2025-01-30,2025-01-31
T00334,C0435,Payment,Resolved,2025-06-23,2025-06-26
T00335,C0477,Technical,Resolved,2025-05-22,2025-05-25
T00336,C0170,Account,Resolved,2025-04-29,2025-05-03
T00337,C0409,Login,Resolved,2025-02-17,2025-02-24
T00338,C0203,Billing,Open,2025-02-20,
T00339,C0231,Account,Resolved,2025-01-02,2025-01-06
T00340,C0106,Payment,Open,2025-01-17,
T00341,C0296,Billing,Open,2025-05-18,
T00342,C0096,Payment,Resolved,2025-04-28,2025-04-30
T00343,C0135,Login,Resolved,2025-06-13,2025-06-19
T00344,C0306,Login,Resolved,2025-05-31,2025-06-02
T00345,C0179,Payment,Open,2025-06-08,
T00346,C0089,Payment,Pending,2025-06-01,
T00347,C0044,Technical,Resolved,2025-03-03,2025-03-08
T00348,C0060,Technical,Resolved,2025-02-06,2025-02-15
T00349,C0199,Login,Resolved,2025-05-28,2025-06-04
T00350,C0217,Technical,Resolved,2025-05-18,2025-05-21
T00351,C0285,Technical,Resolved,2025-02-05,2025-02-08
T00352,C0162,Login,Resolved,2025-04-02,2025-04-03
T00353,C0249,Technical,Resolved,2025-04-09,2025-04-18
T00354,C0259,Login,Resolved,2025-05-06,2025-05-13
T00355,C0364,Login,Resolved,2025-01-22,2025-02-01
T00356,C0016,Technical,Resolved,2025-03-12,2025-03-16
T00357,C0276,Payment,Resolved,2025-04-28,2025-05-08
T00358,C0381,Login,Resolved,2025-01-29,2025-02-08
T00359,C0059,Payment,Open,2025-04-04,
T00360,C0278,Billing,Open,2025-04-23,
T00361,C0280,Technical,Pending,2025-01-27,
T00362,C0377,Technical,Resolved,2025-01-09,2025-01-17
T00363,C0135,Payment,Open,2025-01-23,
T00364,C0225,Billing,Open,2025-03-02,
T00365,C0108,Account,Resolved,2025-06-06,2025-06-13
T00366,C0085,Account,Resolved,2025-02-22,2025-02-26
T00367,C0413,Billing,Resolved,2025-05-17,2025-05-22
T00368,C0306,Account,Resolved,2025-06-30,2025-07-05
T00369,C0149,Account,Resolved,2025-05-12,2025-05-14
T00370,C0070,Login,Pending,2025-03-12,
T00371,C0444,Technical,Open,2025-02-03,
T00372,C0128,Technical,Open,2025-03-05,
T00373,C0390,Login,Resolved,2025-05-28,2025-06-02
T00374,C0322,Login,Resolved,2025-01-20,2025-01-22
T00375,C0207,Account,Open,2025-06-27,
T00376,C0480,Payment,Resolved,2025-05-05,2025-05-11
T00377,C0298,Billing,Open,2025-01-24,
T00378,C0375,Login,Resolved,2025-06-28,2025-07-04
T00379,C0436,Billing,Open,2025-04-12,
T00380,C0112,Login,Open,2025-05-07,
T00381,C0138,Payment,Open,2025-03-28,
T00382,C0281,Account,Resolved,2025-05-05,2025-05-11
T00383,C0458,Billing,Resolved,2025-06-10,2025-06-18
T00384,C0009,Billing,Pending,2025-02-10,
T00385,C0226,Login,Resolved,2025-04-20,2025-04-24
T00386,C0353,Technical,Open,2025-03-19,
T00387,C0082,Payment,Resolved,2025-04-03,2025-04-08
T00388,C0043,Payment,Resolved,2025-06-16,2025-06-19
T00389,C0027,Login,Resolved,2025-06-29,2025-07-03
T00390,C0220,Billing,Open,2025-01-01,
T00391,C0110,Login,Resolved,2025-06-01,2025-06-05
T00392,C0266,Login,Resolved,2025-06-28,2025-07-04
T00393,C0419,Billing,Pending,2025-04-19,
T00394,C0356,Technical,Resolved,2025-02-28,2025-03-07
T00395,C0046,Billing,Resolved,2025-04-05,2025-04-10
T00396,C0071,Login,Open,2025-02-04,
T00397,C0329,Technical,Resolved,2025-05-25,2025-05-26
T00398,C0313,Technical,Resolved,2025-02-24,2025-02-27
T00399,C0471,Login,Resolved,2025-04-24,2025-04-28
T00400,C0045,Billing,Resolved,2025-02-01,2025-02-11
T00401,C0374,Login,Resolved,2025-04-20,2025-04-26
T00402,C0406,Technical,Resolved,2025-06-15,2025-06-17
T00403,C0128,Account,Resolved,2025-06-05,2025-06-10
T00404,C0399,Billing,Open,2025-06-18,
T00405,C0449,Payment,Resolved,2025-06-05,2025-06-14
T00406,C0097,Login,Resolved,2025-01-14,2025-01-18
T00407,C0254,Login,Resolved,2025-05-08,2025-05-18
T00408,C0037,Account,Open,2025-01-04,
T00409,C0185,Payment,Resolved,2025-05-26,2025-06-02
T00410,C0188,Account,Resolved,2025-05-01,2025-05-03
T00411,C0009,Account,Resolved,2025-03-09,2025-03-13
T00412,C0021,Billing,Pending,2025-04-12,
T00413,C0260,Payment,Resolved,2025-05-09,2025-05-16
T00414,C0217,Login,Resolved,2025-05-18,2025-05-27
T00415,C0316,Technical,Resolved,2025-03-21,2025-03-23
T00416,C0262,Technical,Pending,2025-02-09,
T00417,C0275,Payment,Resolved,2025-06-12,2025-06-14
T00418,C0159,Login,Open,2025-03-03,
T00419,C0030,Technical,Resolved,2025-04-22,2025-04-24
T00420,C0233,Account,Resolved,2025-03-21,2025-03-24
T00421,C0062,Billing,Open,2025-06-29,
T00422,C0006,Technical,Resolved,2025-03-30,2025-04-08
T00423,C0265,Payment,Resolved,2025-02-02,2025-02-07
T00424,C0376,Billing,Open,2025-01-08,
T00425,C0172,Login,Resolved,2025-01-17,2025-01-22
T00426,C0365,Account,Resolved,2025-05-08,2025-05-16
T00427,C0262,Payment,Resolved,2025-05-26,2025-05-29
T00428,C0189,Technical,Resolved,2025-01-27,2025-02-06
T00429,C0346,Billing,Resolved,2025-05-11,2025-05-12
T00430,C0023,Billing,Resolved,2025-05-01,2025-05-07
T00431,C0197,Technical,Resolved,2025-01-10,2025-01-19
T00432,C0412,Login,Resolved,2025-03-05,2025-03-12
T00433,C0469,Payment,Resolved,2025-01-20,2025-01-30
T00434,C0191,Billing,Resolved,2025-01-14,2025-01-17
T00435,C0115,Account,Pending,2025-04-13,
T00436,C0036,Login,Open,2025-03-21,
T00437,C0168,Billing,Resolved,2025-01-03,2025-01-09
T00438,C0103,Payment,Resolved,2025-03-19,2025-03-29
T00439,C0125,Login,Resolved,2025-05-07,2025-05-11
T00440,C0376,Account,Open,2025-03-04,
T00441,C0078,Billing,Pending,2025-01-07,
T00442,C0120,Account,Resolved,2025-06-27,2025-06-28
T00443,C0487,Payment,Resolved,2025-06-18,2025-06-25
T00444,C0435,Payment,Resolved,2025-05-16,2025-05-20
T00445,C0215,Login,Pending,2025-02-06,
T00446,C0365,Payment,Resolved,2025-03-01,2025-03-10
T00447,C0212,Payment,Resolved,2025-01-22,2025-02-01
T00448,C0049,Account,Resolved,2025-04-11,2025-04-13
T00449,C0304,Account,Resolved,2025-06-19,2025-06-22
T00450,C0122,Payment,Resolved,2025-03-22,2025-03-29
T00451,C0359,Payment,Resolved,2025-03-11,2025-03-15
T00452,C0039,Technical,Resolved,2025-05-30,2025-06-01
T00453,C0080,Billing,Resolved,2025-04-30,2025-05-06
T00454,C0209,Billing,Resolved,2025-02-23,2025-03-03
T00455,C0158,Login,Resolved,2025-01-31,2025-02-02
T00456,C0081,Payment,Open,2025-06-28,
T00457,C0309,Billing,Resolved,2025-03-25,2025-03-28
T00458,C0047,Technical,Pending,2025-04-12,
T00459,C0263,Billing,Resolved,2025-03-08,2025-03-11
T00460,C0016,Login,Open,2025-05-23,
T00461,C0384,Account,Resolved,2025-04-29,2025-05-01
T00462,C0412,Technical,Resolved,2025-01-16,2025-01-20
T00463,C0067,Technical,Open,2025-04-06,
T00464,C0352,Billing,Resolved,2025-03-08,2025-03-10
T00465,C0012,Billing,Resolved,2025-06-15,2025-06-23
T00466,C0415,Technical,Resolved,2025-03-26,2025-03-28
T00467,C0022,Login,Resolved,2025-05-27,2025-06-03
T00468,C0421,Login,Resolved,2025-04-08,2025-04-15
T00469,C0089,Payment,Resolved,2025-02-17,2025-02-22
T00470,C0144,Login,Open,2025-01-09,
T00471,C0315,Account,Resolved,2025-06-15,2025-06-20
T00472,C0256,Login,Open,2025-05-03,
T00473,C0032,Billing,Resolved,2025-02-05,2025-02-12
T00474,C0103,Account,Resolved,2025-05-20,2025-05-21
T00475,C0196,Payment,Resolved,2025-05-05,2025-05-11
T00476,C0468,Account,Resolved,2025-04-10,2025-04-15
T00477,C0093,Billing,Resolved,2025-02-26,2025-02-27
T00478,C0459,Payment,Resolved,2025-05-01,2025-05-10
T00479,C0184,Account,Pending,2025-02-10,
T00480,C0052,Technical,Resolved,2025-03-10,2025-03-19
T00481,C0418,Billing,Open,2025-02-26,
T00482,C0295,Login,Resolved,2025-02-14,2025-02-17
T00483,C0122,Account,Resolved,2025-06-28,2025-07-04
T00484,C0468,Account,Resolved,2025-06-29,2025-07-05
T00485,C0486,Account,Resolved,2025-05-25,2025-05-29
T00486,C0429,Login,Resolved,2025-02-14,2025-02-22
T00487,C0020,Billing,Resolved,2025-06-04,2025-06-08
T00488,C0011,Account,Resolved,2025-03-26,2025-04-05
T00489,C0104,Technical,Resolved,2025-02-15,2025-02-21
T00490,C0031,Billing,Resolved,2025-06-30,2025-07-03
T00491,C0397,Billing,Open,2025-04-04,
T00492,C0492,Billing,Resolved,2025-06-19,2025-06-26
