escalation_id,ticket_id,customer_id,escalated,escalation_level
E00305,T00992,C0023,Yes,L1
E00306,T00993,C0405,Yes,L2
E00307,T00994,C0035,Yes,L1
E00308,T01008,C0497,Yes,L1
E00309,T01016,C0227,Yes,L1
E00310,T01020,C0353,Yes,L2
E00311,T01023,C0210,Yes,L2
E00312,T01024,C0114,Yes,L1
E00313,T01028,C0377,Yes,L3
E00314,T01029,C0314,Yes,L2
E00315,T01030,C0267,Yes,L2
E00316,T01033,C0098,Yes,L2
E00317,T01034,C0237,Yes,L1
E00318,T01038,C0280,Yes,L2
E00319,T01039,C0013,Yes,L2
E00320,T01046,C0394,Yes,L1
E00321,T01054,C0420,Yes,L2
E00322,T01055,C0335,Yes,L3
E00323,T01060,C0185,Yes,L3
E00324,T01064,C0108,Yes,L3
E00325,T01072,C0061,Yes,L2
E00326,T01074,C0024,Yes,L1
E00327,T01077,C0059,Yes,L2
E00328,T01079,C0170,Yes,L1
E00329,T01085,C0410,Yes,L1
E00330,T01090,C0212,Yes,L1
E00331,T01092,C0058,Yes,L3
E00332,T01093,C0468,Yes,L2
E00333,T01096,C0394,Yes,L2
E00334,T01097,C0347,Yes,L2
E00335,T01098,C0199,Yes,L2
E00336,T01100,C0240,Yes,L3
E00337,T01105,C0491,Yes,L3
E00338,T01108,C0160,Yes,L2
E00339,T01111,C0092,Yes,L2
E00340,T01112,C0429,Yes,L3
E00341,T01117,C0241,Yes,L2
E00342,T01129,C0356,Yes,L2
E00343,T01136,C0415,Yes,L2
E00344,T01140,C0156,Yes,L1
E00345,T01148,C0244,Yes,L2
E00346,T01149,C0431,Yes,L2
E00347,T01150,C0069,Yes,L1
E00348,T01153,C0310,Yes,L2
E00349,T01155,C0182,Yes,L3
E00350,T01157,C0365,Yes,L1
E00351,T01159,C0248,Yes,L3
E00352,T01163,C0351,Yes,L2
E00353,T01164,C0314,Yes,L3
E00354,T01165,C0399,Yes,L3
E00355,T01167,C0086,Yes,L1
E00356,T01169,C0297,Yes,L3
E00357,T01173,C0380,Yes,L2
E00358,T01176,C0176,Yes,L2
E00359,T01181,C0027,Yes,L1
E00360,T01183,C0243,Yes,L2
E00361,T01184,C0148,Yes,L3
E00362,T01187,C0172,Yes,L2
E00363,T01188,C0336,Yes,L3
E00364,T01190,C0173,Yes,L3
E00365,T01196,C0045,Yes,L3
E00366,T01197,C0412,Yes,L2
E00367,T01198,C0095,Yes,L1
E00368,T01201,C0132,Yes,L3
E00369,T01206,C0315,Yes,L2
E00370,T01207,C0053,Yes,L3
E00371,T01208,C0398,Yes,L3
E00372,T01210,C0200,Yes,L1
E00373,T01211,C0295,Yes,L3
E00374,T01212,C0224,Yes,L3
E00375,T01213,C0277,Yes,L2
E00376,T01217,C0042,Yes,L3
E00377,T01220,C0323,Yes,L1
E00378,T01224,C0495,Yes,L3
E00379,T01226,C0061,Yes,L3
E00380,T01229,C0377,Yes,L2
E00381,T01231,C0008,Yes,L1
E00382,T01232,C0234,Yes,L3
E00383,T01236,C0280,Yes,L1
E00384,T01239,C0085,Yes,L1
E00385,T01240,C0069,Yes,L2
E00386,T01254,C0028,Yes,L3
E00387,T01256,C0023,Yes,L2
E00388,T01257,C0091,Yes,L3
E00389,T01258,C0264,Yes,L3
E00390,T01263,C0028,Yes,L2
E00391,T01265,C0324,Yes,L2
E00392,T01268,C0215,Yes,L2
E00393,T01269,C0454,Yes,L3
E00394,T01272,C0442,Yes,L2
E00395,T01276,C0214,Yes,L1
E00396,T01283,C0396,Yes,L3
E00397,T01284,C0095,Yes,L3
E00398,T01286,C0272,Yes,L3
E00399,T01288,C0042,Yes,L3
E00400,T01300,C0148,Yes,L2
E00401,T01305,C0447,Yes,L1
E00402,T01308,C0228,Yes,L1
E00403,T01311,C0490,Yes,L1
E00404,T01315,C0095,Yes,L1
E00405,T01320,C0170,Yes,L2
E00406,T01321,C0342,Yes,L3
E00407,T01322,C0174,Yes,L2
E00408,T01328,C0202,Yes,L3
E00409,T01330,C0204,Yes,L2
E00410,T01333,C0045,Yes,L3
E00411,T01341,C0103,Yes,L1
E00412,T01346,C0015,Yes,L1
E00413,T01352,C0183,Yes,L2
E00414,T01362,C0315,Yes,L3
E00415,T01363,C0360,Yes,L1
E00416,T01365,C0179,Yes,L3
E00417,T01367,C0364,Yes,L2
E00418,T01369,C0108,Yes,L3
E00419,T01372,C0304,Yes,L2
E00420,T01373,C0034,Yes,L3
E00421,T01385,C0064,Yes,L2
E00422,T01386,C0391,Yes,L2
E00423,T01388,C0198,Yes,L1
E00424,T01394,C0053,Yes,L1
E00425,T01401,C0016,Yes,L2
E00426,T01404,C0050,Yes,L3
E00427,T01406,C0252,Yes,L3
E00428,T01407,C0280,Yes,L1
E00429,T01414,C0438,Yes,L1
E00430,T01415,C0254,Yes,L1
E00431,T01421,C0127,Yes,L2
E00432,T01423,C0173,Yes,L2
E00433,T01425,C0011,Yes,L1
E00434,T01429,C0255,Yes,L2
E00435,T01431,C0206,Yes,L1
E00436,T01439,C0138,Yes,L3
E00437,T01441,C0268,Yes,L1
E00438,T01442,C0078,Yes,L1
E00439,T01443,C0164,Yes,L2
E00440,T01446,C0015,Yes,L2
E00441,T01447,C0238,Yes,L2
E00442,T01449,C0015,Yes,L1
E00443,T01450,C0338,Yes,L3
E00444,T01451,C0401,Yes,L3
E00445,T01455,C0478,Yes,L3
E00446,T01460,C0110,Yes,L2
E00447,T01463,C0494,Yes,L2
E00448,T01467,C0328,Yes,L1
E00449,T01471,C0108,Yes,L3
E00450,T01475,C0368,Yes,L1
E00451,T01479,C0329,Yes,L2
E00452,T01481,C0295,Yes,L3
E00453,T01482,C0366,Yes,L1
E00454,T01483,C0211,Yes,L3
E00455,T01485,C0102,Yes,L2
E00456,T01487,C0115,Yes,L1
E00457,T01492,C0485,Yes,L2
E00458,T01498,C0215,Yes,L3
E00459,T01499,C0149,Yes,L1
E00460,T01502,C0352,Yes,L2
E00461,T01510,C0477,Yes,L3
E00462,T01519,C0362,Yes,L1
E00463,T01520,C0227,Yes,L3
E00464,T01522,C0179,Yes,L1
E00465,T01526,C0394,Yes,L2
E00466,T01532,C0109,Yes,L3
E00467,T01537,C0199,Yes,L1
E00468,T01542,C0217,Yes,L1
E00469,T01544,C0021,Yes,L3
E00470,T01548,C0431,Yes,L2
E00471,T01557,C0495,Yes,L3
E00472,T01560,C0236,Yes,L3
E00473,T01565,C0247,Yes,L2
E00474,T01567,C0243,Yes,L1
E00475,T01569,C0011,Yes,L2
E00476,T01570,C0292,Yes,L1
E00477,T01578,C0230,Yes,L2
E00478,T01585,C0067,Yes,L1
E00479,T01587,C0156,Yes,L1
E00480,T01589,C0424,Yes,L3
E00481,T01590,C0221,Yes,L2
E00482,T01596,C0500,Yes,L3
E00483,T01597,C0401,Yes,L3
E00484,T01598,C0260,Yes,L3
E00485,T01599,C0467,Yes,L1
E00486,T01607,C0471,Yes,L3
E00487,T01612,C0339,Yes,L1
E00488,T01615,C0466,Yes,L1
E00489,T01625,C0259,Yes,L3
E00490,T01634,C0042,Yes,L3
E00491,T01641,C0356,Yes,L1
E00492,T01642,C0484,Yes,L2
E00493,T01644,C0149,Yes,L2
E00494,T01649,C0035,Yes,L1
E00495,T01654,C0046,Yes,L1
E00496,T01656,C0377,Yes,L1
E00497,T01658,C0044,Yes,L3
E00498,T01662,C0403,Yes,L3
E00499,T01663,C0228,Yes,L2
E00500,T01664,C0165,Yes,L2
E00501,T01668,C0394,Yes,L3
E00502,T01683,C0232,Yes,L3
E00503,T01684,C0149,Yes,L3
E00504,T01686,C0180,Yes,L1
E00505,T01690,C0450,Yes,L2
E00506,T01692,C0126,Yes,L3
E00507,T01697,C0276,Yes,L2
E00508,T01700,C0064,Yes,L3
E00509,T01703,C0414,Yes,L2
E00510,T01706,C0057,Yes,L2
E00511,T01707,C0283,Yes,L2
E00512,T01708,C0290,Yes,L2
E00513,T01709,C0066,Yes,L1
E00514,T01716,C0389,Yes,L1
E00515,T01721,C0101,Yes,L3
E00516,T01723,C0409,Yes,L2
E00517,T01725,C0421,Yes,L1
E00518,T01729,C0034,Yes,L1
E00519,T01731,C0347,Yes,L1
E00520,T01734,C0006,Yes,L2
E00521,T01736,C0233,Yes,L1
E00522,T01739,C0327,Yes,L2
E00523,T01743,C0160,Yes,L1
E00524,T01745,C0189,Yes,L3
E00525,T01748,C0403,Yes,L3
E00526,T01758,C0102,Yes,L3
E00527,T01760,C0091,Yes,L3
E00528,T01761,C0426,Yes,L1
E00529,T01763,C0415,Yes,L1
E00530,T01765,C0061,Yes,L2
E00531,T01766,C0407,Yes,L1
E00532,T01768,C0472,Yes,L3
E00533,T01771,C0436,Yes,L1
E00534,T01775,C0365,Yes,L3
E00535,T01776,C0243,Yes,L2
E00536,T01778,C0442,Yes,L2
E00537,T01790,C0382,Yes,L1
E00538,T01795,C0117,Yes,L1
E00539,T01797,C0370,Yes,L2
E00540,T01800,C0192,Yes,L2
E00541,T01808,C0244,Yes,L3
E00542,T01809,C0048,Yes,L2
E00543,T01810,C0017,Yes,L2
E00544,T01819,C0142,Yes,L1
E00545,T01824,C0314,Yes,L3
E00546,T01825,C0376,Yes,L3
E00547,T01827,C0123,Yes,L3
E00548,T01828,C0150,Yes,L3
E00549,T01829,C0211,Yes,L2
E00550,T01830,C0387,Yes,L3
E00551,T01831,C0231,Yes,L2
E00552,T01836,C0281,Yes,L1
E00553,T01841,C0184,Yes,L1
E00554,T01843,C0329,Yes,L1
E00555,T01845,C0476,Yes,L1
E00556,T01846,C0047,Yes,L1
E00557,T01851,C0320,Yes,L2
E00558,T01853,C0183,Yes,L3
E00559,T01855,C0337,Yes,L1
E00560,T01862,C0467,Yes,L3
E00561,T01866,C0041,Yes,L3
E00562,T01871,C0118,Yes,L3
E00563,T01874,C0165,Yes,L3
E00564,T01875,C0446,Yes,L2
E00565,T01877,C0047,Yes,L3
E00566,T01879,C0085,Yes,L2
E00567,T01880,C0128,Yes,L2
E00568,T01886,C0195,Yes,L2
E00569,T01893,C0198,Yes,L1
E00570,T01896,C0125,Yes,L2
E00571,T01897,C0358,Yes,L3
E00572,T01899,C0007,Yes,L1
E00573,T01903,C0496,Yes,L2
E00574,T01908,C0001,Yes,L2
E00575,T01911,C0250,Yes,L1
E00576,T01912,C0291,Yes,L3
E00577,T01915,C0041,Yes,L3
E00578,T01916,C0033,Yes,L3
E00579,T01919,C0050,Yes,L3
E00580,T01927,C0144,Yes,L1
E00581,T01935,C0449,Yes,L2
E00582,T01939,C0340,Yes,L3
E00583,T01941,C0476,Yes,L1
E00584,T01943,C0341,Yes,L3
E00585,T01945,C0447,Yes,L2
E00586,T01948,C0133,Yes,L3
E00587,T01953,C0395,Yes,L2
E00588,T01959,C0353,Yes,L3
E00589,T01961,C0031,Yes,L2
E00590,T01962,C0359,Yes,L2
E00591,T01963,C0439,Yes,L1
E00592,T01964,C0418,Yes,L1
E00593,T01965,C0201,Yes,L1
E00594,T01967,C0145,Yes,L1
E00595,T01970,C0071,Yes,L3
E00596,T01972,C0377,Yes,L3
E00597,T01973,C0348,Yes,L1
E00598,T01974,C0475,Yes,L2
E00599,T01982,C0006,Yes,L1
E00600,T01983,C0329,Yes,L1
E00601,T01986,C0153,Yes,L3
E00602,T01989,C0251,Yes,L3
E00603,T01996,C0217,Yes,L1
E00604,T01998,C0296,Yes,L3
E00605,T01999,C0311,Yes,L1
